Classifier,n_fold_evaluations,n_unique_cases,n_unique_patients,val_auc_mean,val_auc_std,val_auc_median,val_auc_iqr,val_accuracy_mean,val_accuracy_std,val_accuracy_median,val_accuracy_iqr,val_balanced_accuracy_mean,val_balanced_accuracy_std,val_balanced_accuracy_median,val_balanced_accuracy_iqr,val_f1_binary_mean,val_f1_binary_std,val_f1_binary_median,val_f1_binary_iqr,val_mcc_mean,val_mcc_std,val_mcc_median,val_mcc_iqr,val_kappa_mean,val_kappa_std,val_kappa_median,val_kappa_iqr,val_sensitivity_mean,val_sensitivity_std,val_sensitivity_median,val_sensitivity_iqr,val_specificity_mean,val_specificity_std,val_specificity_median,val_specificity_iqr,val_ppv_mean,val_ppv_std,val_ppv_median,val_ppv_iqr,val_npv_mean,val_npv_std,val_npv_median,val_npv_iqr,oof_auc,oof_auc_ci_low,oof_auc_ci_high,oof_accuracy,oof_accuracy_ci_low,oof_accuracy_ci_high,oof_balanced_accuracy,oof_balanced_accuracy_ci_low,oof_balanced_accuracy_ci_high,oof_f1_binary,oof_f1_binary_ci_low,oof_f1_binary_ci_high,oof_mcc,oof_mcc_ci_low,oof_mcc_ci_high,oof_kappa,oof_kappa_ci_low,oof_kappa_ci_high,oof_sensitivity,oof_sensitivity_ci_low,oof_sensitivity_ci_high,oof_specificity,oof_specificity_ci_low,oof_specificity_ci_high,oof_ppv,oof_ppv_ci_low,oof_ppv_ci_high,oof_npv,oof_npv_ci_low,oof_npv_ci_high
Random Forest,50,1500,1476,0.8092152529076772,0.024327166551551614,0.8051258830149624,0.0272927939926767,0.7725275486411859,0.018804378163431845,0.775001111160496,0.02574718993152114,0.6711858217785358,0.02408087991810914,0.6712672554069823,0.028953424076496703,0.5187564521780018,0.04311475766390282,0.5205633802816901,0.05430721030461044,0.39232772418709894,0.04810723945926303,0.39189643306649574,0.06601330889706009,0.37809900847662076,0.04878083536158227,0.38300914463585367,0.05338886578758323,0.436077005586332,0.05240543710810302,0.4351903695408735,0.06680523423944473,0.9062946379707395,0.01996342344387105,0.9099355692097628,0.02914200789849919,0.6482268105524253,0.05882448566181569,0.639595296691277,0.10001788966952907,0.8025035740283399,0.025345064105442138,0.8051758087201125,0.027356522764000246,0.8149504787961696,0.7913382769703924,0.8384485744667957,0.776,0.7573333333333333,0.7933344370860927,0.6694391244870042,0.644660073072782,0.6946920466832784,0.5172413793103449,0.4733028473873544,0.5618064813051482,0.3969006449762889,0.343968730918563,0.44973508451734895,0.3805690407423339,0.3272107090470633,0.4315873892226982,0.4235294117647059,0.3779121450011545,0.4728132387706856,0.9153488372093024,0.8976720367242649,0.9321668372248444,0.6642066420664207,0.6119402985074627,0.7154090909090909,0.8006509357200976,0.7871476935474361,0.8150327171445468
LightGBM,50,1500,1476,0.7991304293317907,0.02366330283602627,0.8012624235347197,0.030781940855543866,0.7667302359066953,0.021944726941844937,0.7691038334602691,0.028873060617246704,0.700873036008504,0.02863356023972881,0.7056788565235592,0.02824149076185256,0.5692199096489676,0.04275742072433346,0.578464802606653,0.042776007287484874,0.4123705471917721,0.05309126103860703,0.42056742707534234,0.052072598086539634,0.410240321129525,0.05358487896196993,0.41999143863020605,0.05237405029643971,0.5477642515011663,0.05916818096286916,0.5577777777777778,0.0680894332357963,0.8539818205158418,0.02324336438694453,0.8551379135290633,0.038100814169908404,0.5971567534851013,0.04924570000965804,0.5973580373992109,0.06081763410098806,0.8267625409808016,0.027613351455270316,0.8321596244131455,0.03711214553171627,0.8135463748290014,0.7897810890651965,0.8366377574291439,0.78,0.7593582887700535,0.8000033090668431,0.7134883720930233,0.6877725314169384,0.7389782851455372,0.5905707196029777,0.5513720398252488,0.62782681162722,0.44200317331812433,0.3902782160679821,0.49316845013196126,0.4407727503812914,0.38880084631501277,0.491933678476842,0.56,0.5130595437427337,0.6094246975385899,0.8669767441860465,0.8455006948817146,0.8873572162221046,0.6246719160104987,0.5827106481481481,0.665753793892848,0.8328865058087578,0.8176138633951426,0.8486212295980862
Gradient Boosting,50,1500,1476,0.8010757252143026,0.02287161240540494,0.8029924641634465,0.032449879107795176,0.7696762384050159,0.019968291367923476,0.7703820598006645,0.027840558588178466,0.6808002574056267,0.026330645829334805,0.6833460591554948,0.039820169932118676,0.536689530770734,0.04294409245753996,0.5416988416988417,0.0548726691713155,0.39585407151249496,0.05000895265053483,0.4010583367076786,0.06006983264227167,0.38800829463365516,0.05111552808998223,0.3965771211090043,0.06356556659178042,0.47437498115230736,0.05583141998587966,0.47467948717948716,0.0989600840336135,0.887225533658946,0.019617562578421212,0.8930909956744315,0.024796607235589407,0.6240484057392852,0.05230713516000953,0.6278846153846154,0.07421968402704382,0.8101322044924071,0.026744502735014188,0.8136410432395333,0.03414688397938437,0.8122834473324214,0.7870720986084105,0.8355944261020632,0.7846666666666666,0.7643899362469906,0.8033338926174497,0.6946922024623803,0.6681359789182698,0.7204166622219144,0.5617367706919946,0.518000607141502,0.6032212545801273,0.4323064682737439,0.37498530864230306,0.48278539239561724,0.42342020706890404,0.3677852176389227,0.47403580733338246,0.48705882352941177,0.44027400468384076,0.5379146919431279,0.9023255813953488,0.8830056383386317,0.9207126466133022,0.6634615384615384,0.6136205319448353,0.711038961038961,0.8164983164983165,0.8016731214772295,0.8316062176165803
Extra Trees,50,1500,1476,0.8048837900810614,0.02457445097483645,0.8054592458138784,0.03912900709386902,0.7722716946675388,0.01969952218538131,0.7757486450986235,0.03275653628002617,0.668161742914547,0.024116576543675838,0.6668770502076629,0.03350345162196655,0.5134248886273417,0.043883311722231186,0.514297385620915,0.06027962610447046,0.38911625178770093,0.04849777279077659,0.39031493479548696,0.06374188480201193,0.3737430227674162,0.049369934163977294,0.3714898812630124,0.0660045646721138,0.42713507264854206,0.05074214402730143,0.42624910351422424,0.07132120253164559,0.9091884131805521,0.01917571391786485,0.9121742307380043,0.028716842535649878,0.6507667871929868,0.05681209336079536,0.655,0.10228340900315547,0.8005419925196879,0.024529333719174557,0.8032457699651063,0.027282268261973774,0.8122484268125855,0.7873399916317209,0.8348736828329165,0.7793333333333333,0.7608221296913169,0.796271637816245,0.673187414500684,0.6486954759702216,0.696594499775384,0.5237410071942447,0.4787664314376643,0.5645683890577508,0.4062660987548557,0.3525481728499012,0.45745441608362447,0.38929889298892983,0.3373511166475182,0.43903788721102227,0.42823529411764705,0.3829787234042553,0.4741814202974859,0.9181395348837209,0.9004627993590576,0.9341372912801484,0.674074074074074,0.6206896551724138,0.7224481631424897,0.802439024390244,0.7898540473094091,0.8152725096349481
SVM,50,1500,1476,0.8079226210439959,0.022013757228024285,0.8050724695707879,0.03604136958902682,0.7689599673625592,0.02123569088224752,0.7703820598006645,0.026982132498934885,0.6823365496569908,0.027834348924267355,0.6852827380952381,0.036265175355969625,0.539057205431374,0.04542831906221701,0.543046357615894,0.05878547576265958,0.39635650989136606,0.05088302539230113,0.3961935731012044,0.06854430218361302,0.38916499585047803,0.053003459297771,0.3925193489867312,0.07531399115728621,0.4810659768988968,0.06169525240691318,0.4917396745932415,0.0739229995589612,0.8836071224150845,0.020974444667571004,0.883833665504069,0.02370109147756916,0.6203831912475379,0.049838669893043926,0.6196945879182574,0.06160237285783676,0.8114941831752149,0.028344315050178922,0.8175965665236051,0.03755406254154692,0.8098517099863201,0.7862279469193417,0.8335822571839809,0.77,0.7498332221480988,0.7883889956111695,0.6787688098495213,0.6541338202865066,0.7032983163097336,0.5356662180349933,0.4945324663430717,0.5756068965517241,0.3941832295815308,0.3413985180638166,0.44492889648586853,0.3869936034115138,0.33474919269499626,0.437568168775981,0.4682352941176471,0.42251961653370107,0.5142733573637719,0.8893023255813953,0.8691961483816237,0.9087691942295976,0.6257861635220126,0.5798705966930265,0.6718814036885246,0.8087986463620981,0.7947407462796555,0.8227362056906488
Logistic Regression,50,1500,1476,0.8015255996772346,0.025013556753998828,0.7985234320351505,0.026839294310666006,0.735864907968601,0.024477767312616694,0.7403703703703703,0.03624350519619812,0.7294150357336225,0.026321863814116202,0.7293826456562306,0.03395988889959867,0.6040507753825087,0.037637416227082617,0.6042811355311355,0.04890395485359067,0.42509358684701665,0.049344105055775904,0.4245014418318228,0.07143596114262091,0.4130527840537133,0.04979189697925823,0.4168969921467547,0.07167392086420643,0.7141184574605635,0.050380661934591786,0.7176470588235294,0.04739410300702762,0.7447116140066816,0.033598034713947914,0.75,0.04807563628044609,0.5257095402096301,0.04534612797190675,0.5304347826086957,0.06191701732135091,0.8683901327291895,0.023720977786509504,0.8690853204172876,0.036728093357227154,0.8081751025991792,0.7834599051571607,0.8318029031161782,0.7393333333333333,0.7161820152721428,0.7621625197050169,0.7306429548563611,0.7028934991556006,0.7566461679066298,0.607035175879397,0.5739986777668952,0.6387563258946393,0.42824271527720714,0.3783697311770916,0.4775869429765544,0.41815476190476186,0.36913769857995027,0.46617357178930874,0.7105882352941176,0.6650943396226415,0.7552953751571887,0.7506976744186047,0.7235596905090121,0.7759155901166437,0.5298245614035088,0.49918623781516064,0.5604410269445856,0.867741935483871,0.849500237661767,0.8862453903230106
LASSO Logistic Regression,50,1500,1476,0.801386062113904,0.02477660482529902,0.7967760784893467,0.025229245777301568,0.7350017427703963,0.023653232452938357,0.7408637873754153,0.03398601399544132,0.729290257495432,0.024696116279641588,0.728138664240161,0.036066628195745576,0.6038465864154017,0.03639485139393442,0.6004856488049766,0.040612976940230916,0.42453540937688294,0.046755572425491346,0.42048151103505854,0.05716149556974315,0.4121536861724354,0.04748886018697898,0.41178092907573816,0.05775583790626848,0.7158458483836612,0.04873717812667437,0.7177978883861237,0.05923788536876162,0.7427346666072028,0.033720613164680016,0.7517336434509196,0.052001285685363774,0.52441478214124,0.044366627605815175,0.525247417467312,0.061663001080088986,0.868852590574461,0.022780525328270487,0.8707794636179079,0.0330892251943935,0.8078730506155951,0.783668225064778,0.8317186017160112,0.744,0.7210647973814559,0.766913884858144,0.7374555403556772,0.7112395774828059,0.7640062048056432,0.6152304609218436,0.5838380849919311,0.6472945891783567,0.44044716794000177,0.3927444471762387,0.48905697766260725,0.42967473637308773,0.3812842423490343,0.4782078661047083,0.7223529411764706,0.6792430736600238,0.7669174135723431,0.7525581395348837,0.7250681500465983,0.7761359570890469,0.5357766143106457,0.5042575122042002,0.5658647033856802,0.8727076591154261,0.8547330153624313,0.8912744312293581
LDA,50,1500,1476,0.7964523496394702,0.02376697550834879,0.7978056707542842,0.026396313772521607,0.7715291294553892,0.02394262768496694,0.7716666666666667,0.030537721205536883,0.6772889882032688,0.030087762088259487,0.6788151128780766,0.03772533544850232,0.5300952957701248,0.049948456411526,0.5349804305283757,0.06524245154328057,0.3954168512598891,0.05746054674537521,0.3966876344091981,0.07425988269442163,0.3852293087884619,0.059436263575716415,0.38873140763637876,0.07121975097663891,0.45859261997219164,0.061726567155403034,0.45594683474924635,0.07933992562542258,0.8959853564343458,0.019121452107508898,0.894866754041066,0.027220866784121722,0.634938776578689,0.05283952294564475,0.6306042884990253,0.07836734693877556,0.8070256736933463,0.028929416484085868,0.809724308088393,0.038623280822451034,0.8037384404924761,0.7780499755105125,0.8277916475116848,0.7773333333333333,0.7584930286857905,0.7946497183302037,0.6824623803009575,0.6572113489126726,0.7061406555488703,0.5412087912087912,0.4985370230996353,0.5803902521082968,0.40957518819957384,0.3558213200595151,0.45952955308770327,0.3996045299298939,0.34640594280908127,0.4491888630362294,0.46352941176470586,0.4225012427506214,0.5082928778068604,0.9013953488372093,0.881850990525409,0.9193743167243341,0.6501650165016502,0.601958125889047,0.6966882716049383,0.8095238095238095,0.7959840758633029,0.8230795262267343
AdaBoost,50,1500,1476,0.774643904732389,0.023158932836613882,0.775022086208514,0.02794123158859907,0.7547506516599992,0.022742068547862128,0.7558528428093646,0.03112744829300207,0.6700084989889057,0.03089922545711123,0.6699780881654506,0.03225204700058215,0.519917299568369,0.05228690270666733,0.5259784075573549,0.05161361626878869,0.3639655754142143,0.06081217294336687,0.3672920958520981,0.061126427887419676,0.35869276188708826,0.06115769335216992,0.36181013859205585,0.060535804919537584,0.4732325890968198,0.06533379652107502,0.47154255319148936,0.07927906417611541,0.8667844088809915,0.026107708796393656,0.8674485026830535,0.025737818212240193,0.5842225031337125,0.06207725357299112,0.5833976833976834,0.08472268673355632,0.8063746347019809,0.027657287264091418,0.8134481460568417,0.03736066998175014,0.7906757865937072,0.7637966934169972,0.8155774964882704,0.7713333333333333,0.7506624419376244,0.790019385026738,0.6825444596443229,0.6560475489397722,0.7070762097023674,0.5420560747663551,0.4986222058518842,0.5816876098738206,0.3997801100266188,0.34516690159452473,0.45108500618764114,0.39334984082065794,0.338439991484684,0.4443935905626912,0.4776470588235294,0.43022440773744836,0.522355583368099,0.8874418604651163,0.8673455082967766,0.9058779496391661,0.6265432098765432,0.577014642214331,0.6752475458359064,0.8112244897959183,0.796609078344366,0.8251955121256234
KNN,50,1500,1476,0.7470596277683511,0.028643479104988784,0.7460228958864294,0.04251926154765806,0.7501423727837548,0.021206305497231234,0.7487485325713779,0.02203610082532048,0.6555719774810466,0.025150571658106725,0.656525613500677,0.03999855235216132,0.49575751250692873,0.04287355372498423,0.5015723270440251,0.07527440630888904,0.34189738745901843,0.05012822652276165,0.3423147133430833,0.07376120126284369,0.33477265930678174,0.05068943005804519,0.33376282074923913,0.08007903871286376,0.43651599862340484,0.05204827100280279,0.43704984154422355,0.06943091514996153,0.8746279563386885,0.021864015168050407,0.8762140499764262,0.024814387809495964,0.5795682614648772,0.052796020860588315,0.5789473684210527,0.06980568255030228,0.7969418363768669,0.025642651622290968,0.8008658008658008,0.03689850605172318,0.7763677154582762,0.7509565891703063,0.8012557374585484,0.7606666666666667,0.739853626081171,0.7787376858777337,0.6665663474692203,0.6403184460981274,0.6913840791790322,0.5155195681511471,0.47120066519628223,0.5569009282860747,0.3681260601012075,0.3130502193491002,0.41800391628468314,0.36113417961798544,0.306880901257924,0.411552572874501,0.44941176470588234,0.40424394804669733,0.49881249192792126,0.8837209302325582,0.8634195618595949,0.9030799973991633,0.6044303797468354,0.5545372398685652,0.649843527297515,0.8023648648648649,0.7884289755847242,0.8165453551694029
